,level_0,index,rating,caption,middle,reviews
0,0,0,1.0,"Shope expres tai, barang saya bisa ilang gitu gmna ceritanya woi! Ga amanah bgt! Kapok bgt pake shope expres!!!",,"Shope expres tai, barang saya bisa ilang gitu gmna ceritanya woi! Ga amanah bgt! Kapok bgt pake shope expres!!!"
1,1,1,1.0,Ngga ada pergerakan selama sehari padahal udah di Bandung dan aku pengiriman ke Cimahi loh,,Ngga ada pergerakan selama sehari padahal udah di Bandung dan aku pengiriman ke Cimahi loh
2,2,2,1.0,"Lama banget di gudang dc bandung, paket saya di apain si disitu biasanya jakarta-bandung sehari nyampe kalo pake ekspedisi j*t. Aku aja buru buru ini ke seller untuk dikirim saat itu juga. Eh malah lamanya di ekspedisi. Baru kali ini pake …",,"Lama banget di gudang dc bandung, paket saya di apain si disitu biasanya jakarta-bandung sehari nyampe kalo pake ekspedisi j*t. Aku aja buru buru ini ke seller untuk dikirim saat itu juga. Eh malah lamanya di ekspedisi. Baru kali ini pake …"
3,3,3,1.0,Lilaaaaaaaa barg mau d pake hari ini g sampe2. Boasanya juga sehari dateng pagi. Ini baru d first mile hub ga gerak2.. ancurrrr,,Lilaaaaaaaa barg mau d pake hari ini g sampe2. Boasanya juga sehari dateng pagi. Ini baru d first mile hub ga gerak2.. ancurrrr
4,4,4,1.0,"Kacaauu ,, kurir nyaa ga amanah",,"Kacaauu ,, kurir nyaa ga amanah"
5,5,5,4.0,,,nan
6,6,6,1.0,bintang 0 bgt hrsnya pengiriman nya bisa dua minggu 😡😡😡😡😡😡,,bintang 0 bgt hrsnya pengiriman nya bisa dua minggu 😡😡😡😡😡😡
7,7,7,2.0,,,nan
8,8,8,1.0,Udh 2x barang ngga sampai tp d kertrang nya barang d Terima oleh pemilik akun,,Udh 2x barang ngga sampai tp d kertrang nya barang d Terima oleh pemilik akun
9,9,9,5.0,,,nan
10,10,10,4.0,,,nan
11,11,11,1.0,"(Translated by Google) The courier did not have an initial confirmation of the package, just put it carelessly, but the recipient in question, what about it? What if something is lost? …"," The courier did not have an initial confirmation of the package, just put it carelessly, but the recipient in question, what about it? What if something is lost? …"," The courier did not have an initial confirmation of the package, just put it carelessly, but the recipient in question, what about it? What if something is lost? …"
