,word,count,clean1,Sentiment
0,service,7,service,Neutral
1,bad,4,bad,Negative
2,use,3,use,Neutral
3,sent,3,sent,Neutral
4,mango,3,mango,Neutral
5,time,3,time,Neutral
6,item,3,item,Neutral
7,answer,3,answer,Neutral
8,really,2,really,Neutral
9,lost,2,lost,Negative
10,may,2,may,Neutral
11,havent,2,havent,Neutral
12,first,2,first,Neutral
13,terrible,2,terrible,Negative
14,speaking,2,speaking,Neutral
15,didnt,2,didnt,Neutral
16,badly,2,badly,Negative
17,work,2,work,Neutral
18,staff,2,staff,Neutral
19,waiting,2,waiting,Neutral
20,delivered,2,delivered,Neutral
21,dont,2,dont,Neutral
22,phone,2,phone,Neutral
23,bring,2,bring,Neutral
24,document,2,document,Neutral
25,correct,1,correct,Neutral
26,declaration,1,declaration,Neutral
27,better,1,better,Positive
28,dhl,1,dhl,Neutral
29,change,1,change,Neutral
30,gate,1,gate,Neutral
31,door,1,door,Neutral
32,difficult,1,difficult,Negative
33,open,1,open,Neutral
34,prolonged,1,prolonged,Neutral
35,fixed,1,fixed,Neutral
36,father,1,father,Neutral
37,watch,1,watch,Neutral
38,uk,1,uk,Neutral
39,stansted,1,stansted,Neutral
40,delete,1,delete,Neutral
41,find,1,find,Neutral
42,since,1,since,Neutral
43,nov,1,nov,Neutral
44,disappeared,1,disappeared,Negative
45,system,1,system,Neutral
46,sister,1,sister,Neutral
47,korat,1,korat,Neutral
48,friday,1,friday,Neutral
49,tuesday,1,tuesday,Neutral
50,received,1,received,Neutral
51,yet,1,yet,Neutral
52,fear,1,fear,Negative
53,rotten,1,rotten,Negative
54,therefore,1,therefore,Neutral
55,went,1,went,Neutral
56,talk,1,talk,Neutral
57,loudly,1,loudly,Neutral
58,hear,1,hear,Neutral
59,scolded,1,scolded,Neutral
60,suitable,1,suitable,Neutral
61,poor,1,poor,Negative
62,last,1,last,Neutral
63,mood,1,mood,Neutral
64,worse,1,worse,Negative
65,unacceptable,1,unacceptable,Negative
66,lot,1,lot,Neutral
67,people,1,people,Neutral
68,hard,1,hard,Negative
69,long,1,long,Neutral
70,need,1,need,Neutral
71,order,1,order,Neutral
72,day,1,day,Neutral
73,catch,1,catch,Neutral
74,later,1,later,Neutral
75,anymore,1,anymore,Neutral
76,disappointed,1,disappointed,Negative
77,delivery,1,delivery,Neutral
78,spoke,1,spoke,Neutral
79,even,1,even,Neutral
80,say,1,say,Neutral
81,customer,1,customer,Neutral
82,cant,1,cant,Neutral
83,help,1,help,Positive
84,sending,1,sending,Neutral
85,good,1,good,Positive
86,others,1,others,Neutral
87,unlike,1,unlike,Neutral
88,expensive,1,expensive,Neutral
89,pricing,1,pricing,Neutral
90,parcel,1,parcel,Neutral
91,arrived,1,arrived,Neutral
92,bangkok,1,bangkok,Neutral
93,thailand,1,thailand,Neutral
94,november,1,november,Neutral
95,asked,1,asked,Neutral
96,requirement,1,requirement,Neutral
97,gave,1,gave,Neutral
98,different,1,different,Neutral
99,requested,1,requested,Neutral
100,still,1,still,Neutral
101,said,1,said,Neutral
102,wrong,1,wrong,Negative
103,told,1,told,Neutral
104,u,1,u,Neutral
105,horrible,1,horrible,Negative
