word,count,Sentiment,company,country
the,49,Neutral,Ninja Van,TH
…,22,Neutral,Ninja Van,TH
to,20,Neutral,Ninja Van,TH
very,13,Neutral,Ninja Van,TH
not,13,Neutral,Ninja Van,TH
and,12,Neutral,Ninja Van,TH
this,8,Neutral,Ninja Van,TH
I,8,Neutral,Ninja Van,TH
Very,8,Neutral,Ninja Van,TH
for,8,Neutral,Ninja Van,TH
a,8,Neutral,Ninja Van,TH
delivery,8,Neutral,Ninja Van,TH
slow,8,Neutral,Ninja Van,TH
is,8,Neutral,Ninja Van,TH
at,7,Neutral,Ninja Van,TH
The,7,Neutral,Ninja Van,TH
from,6,Neutral,Ninja Van,TH
of,6,Neutral,Ninja Van,TH
It's,6,Neutral,Ninja Van,TH
be,6,Neutral,Ninja Van,TH
in,6,Neutral,Ninja Van,TH
that,6,Neutral,Ninja Van,TH
don't,5,Neutral,Ninja Van,TH
day,5,Neutral,Ninja Van,TH
"delivery,",5,Neutral,Ninja Van,TH
but,5,Neutral,Ninja Van,TH
company.,4,Neutral,Ninja Van,TH
send,4,Neutral,Ninja Van,TH
bad.,4,Negative,Ninja Van,TH
was,4,Neutral,Ninja Van,TH
items,4,Neutral,Ninja Van,TH
wait,4,Neutral,Ninja Van,TH
next,4,Neutral,Ninja Van,TH
Slow,4,Neutral,Ninja Van,TH
are,4,Neutral,Ninja Van,TH
still,4,Neutral,Ninja Van,TH
until,4,Neutral,Ninja Van,TH
system,4,Neutral,Ninja Van,TH
sent,4,Neutral,Ninja Van,TH
deliver,3,Neutral,Ninja Van,TH
with,3,Neutral,Ninja Van,TH
one,3,Neutral,Ninja Van,TH
delivery.,3,Neutral,Ninja Van,TH
No,3,Negative,Ninja Van,TH
time.,3,Neutral,Ninja Van,TH
days.,3,Neutral,Ninja Van,TH
have,3,Neutral,Ninja Van,TH
worst,3,Negative,Ninja Van,TH
it,3,Neutral,Ninja Van,TH
will,3,Neutral,Ninja Van,TH
call,3,Neutral,Ninja Van,TH
"service,",3,Neutral,Ninja Van,TH
us,3,Neutral,Ninja Van,TH
can,3,Neutral,Ninja Van,TH
received,3,Neutral,Ninja Van,TH
employees,3,Neutral,Ninja Van,TH
o'clock,3,Neutral,Ninja Van,TH
date,3,Neutral,Ninja Van,TH
Order,2,Neutral,Ninja Van,TH
online,2,Neutral,Ninja Van,TH
shop,2,Neutral,Ninja Van,TH
4,2,Neutral,Ninja Van,TH
slow.,2,Neutral,Ninja Van,TH
Waiting,2,Neutral,Ninja Van,TH
long,2,Neutral,Ninja Van,TH
said,2,Neutral,Ninja Van,TH
so,2,Neutral,Ninja Van,TH
didn't,2,Neutral,Ninja Van,TH
come,2,Neutral,Ninja Van,TH
on,2,Neutral,Ninja Van,TH
Pickled,2,Neutral,Ninja Van,TH
using,2,Neutral,Ninja Van,TH
transportation,2,Neutral,Ninja Van,TH
should,2,Neutral,Ninja Van,TH
we,2,Neutral,Ninja Van,TH
has,2,Neutral,Ninja Van,TH
been,2,Neutral,Ninja Van,TH
back,2,Neutral,Ninja Van,TH
7,2,Neutral,Ninja Van,TH
"bad,",2,Negative,Ninja Van,TH
too,2,Neutral,Ninja Van,TH
Items,2,Neutral,Ninja Van,TH
ordering,2,Neutral,Ninja Van,TH
company,2,Neutral,Ninja Van,TH
