,word,count,clean1,clean2,Sentiment
0,...,93,,,Neutral
1,delivery,55,delivery,delivery,Neutral
2,bad,45,bad,bad,Negative
3,day,33,day,day,Neutral
4,item,29,item,item,Neutral
5,time,28,time,time,Neutral
6,call,28,call,call,Neutral
7,service,21,service,service,Neutral
8,delivered,19,delivered,delivered,Neutral
9,cant,17,cant,cant,Neutral
10,tell,16,tell,tell,Neutral
11,slow,16,slow,slow,Neutral
12,send,15,send,send,Neutral
13,contact,15,contact,contact,Neutral
14,company,14,company,company,Neutral
15,one,14,one,one,Neutral
16,deliver,13,deliver,deliver,Neutral
17,didnt,13,didnt,didnt,Neutral
18,come,13,come,come,Neutral
19,wait,13,wait,wait,Neutral
20,good,13,good,good,Positive
21,product,13,product,product,Neutral
22,staff,12,staff,staff,Neutral
23,worst,12,worst,worst,Negative
24,transport,12,transport,transport,Neutral
25,said,12,said,said,Neutral
26,customer,12,customer,customer,Neutral
27,waiting,12,waiting,waiting,Neutral
28,dont,12,dont,dont,Neutral
29,received,12,received,received,Neutral
30,sent,12,sent,sent,Neutral
31,called,11,called,called,Neutral
32,yet,11,yet,yet,Neutral
33,say,10,say,say,Neutral
34,number,10,number,number,Positive
35,recipient,10,recipient,recipient,Neutral
36,system,10,system,system,Neutral
37,house,10,house,house,Neutral
38,even,9,even,even,Neutral
39,first,9,first,first,Neutral
40,back,9,back,back,Neutral
41,u,9,u,u,Neutral
42,order,9,order,order,Neutral
43,still,9,still,still,Neutral
44,contacted,9,contacted,contacted,Neutral
45,ninja,9,ninja,ninja,Neutral
46,ordered,9,ordered,ordered,Neutral
47,terrible,9,terrible,terrible,Negative
48,wrong,8,wrong,wrong,Negative
49,address,8,address,address,Neutral
50,today,8,today,today,Neutral
51,shop,8,shop,shop,Neutral
52,poor,8,poor,poor,Negative
53,arrived,8,arrived,arrived,Neutral
54,van,8,van,van,Neutral
55,fast,8,fast,fast,Neutral
56,employee,8,employee,employee,Neutral
57,receive,7,receive,receive,Neutral
58,status,7,status,status,Neutral
59,thing,7,thing,thing,Neutral
60,broken,7,broken,broken,Negative
61,next,7,next,next,Neutral
62,really,7,really,really,Neutral
63,calling,7,calling,calling,Neutral
64,parcel,6,parcel,parcel,Neutral
65,sender,6,sender,sender,Neutral
66,havent,6,havent,havent,Neutral
67,inform,6,inform,inform,Neutral
68,postpone,6,postpone,postpone,Negative
69,unable,6,unable,unable,Neutral
70,pick,6,pick,pick,Neutral
71,front,6,front,front,Neutral
72,never,6,never,never,Neutral
73,package,6,package,package,Neutral
74,date,6,date,date,Neutral
75,always,5,always,always,Neutral
76,every,5,every,every,Neutral
77,shipping,5,shipping,shipping,Neutral
78,branch,5,branch,branch,Neutral
79,problem,5,problem,problem,Negative
80,week,5,week,week,Neutral
81,transportation,5,transportation,transportation,Neutral
82,ordering,5,ordering,ordering,Neutral
83,know,5,know,know,Neutral
84,home,5,home,home,Neutral
85,shopee,5,shopee,shopee,Neutral
86,confused,5,confused,confused,Negative
87,star,5,star,star,Neutral
88,could,4,could,could,Neutral
89,worker,4,worker,worker,Neutral
90,ask,4,ask,ask,Neutral
91,another,4,another,another,Neutral
92,came,4,came,came,Neutral
93,claiming,4,claiming,claiming,Neutral
94,check,4,check,check,Neutral
95,get,4,get,get,Neutral
96,sending,4,sending,sending,Neutral
97,box,4,box,box,Neutral
98,since,4,since,since,Neutral
99,many,4,many,many,Neutral
100,appointment,4,appointment,appointment,Neutral
101,use,4,use,use,Neutral
102,responsibility,4,responsibility,responsibility,Neutral
103,responsible,4,responsible,responsible,Positive
104,arrive,4,arrive,arrive,Neutral
105,though,4,though,though,Neutral
106,got,4,got,got,Neutral
