word,count,Sentiment,company,country
the,20,Neutral,Kerry,TH
is,9,Neutral,Kerry,TH
very,8,Neutral,Kerry,TH
to,7,Neutral,Kerry,TH
a,6,Neutral,Kerry,TH
not,6,Neutral,Kerry,TH
…,6,Neutral,Kerry,TH
it,5,Neutral,Kerry,TH
up,5,Neutral,Kerry,TH
service,4,Neutral,Kerry,TH
as,4,Neutral,Kerry,TH
for,3,Neutral,Kerry,TH
item,3,Neutral,Kerry,TH
be,3,Neutral,Kerry,TH
so,3,Neutral,Kerry,TH
will,3,Neutral,Kerry,TH
use,3,Neutral,Kerry,TH
delivery,3,Neutral,Kerry,TH
call,3,Neutral,Kerry,TH
and,3,Neutral,Kerry,TH
Waiting,2,Neutral,Kerry,TH
delivered,2,Neutral,Kerry,TH
long,2,Negative,Kerry,TH
of,2,Neutral,Kerry,TH
But,2,Neutral,Kerry,TH
Very,2,Neutral,Kerry,TH
slow.,2,Negative,Kerry,TH
pay,2,Negative,Kerry,TH
it's,2,Neutral,Kerry,TH
Call,2,Neutral,Kerry,TH
number,2,Positive,Kerry,TH
but,2,Neutral,Kerry,TH
Why,2,Neutral,Kerry,TH
rotten,2,Negative,Kerry,TH
deliver,2,Neutral,Kerry,TH
time.,1,Neutral,Kerry,TH
Need,1,Neutral,Kerry,TH
order,1,Neutral,Kerry,TH
on,1,Neutral,Kerry,TH
day,1,Neutral,Kerry,TH
didn't,1,Neutral,Kerry,TH
catch,1,Neutral,Kerry,TH
"Later,",1,Neutral,Kerry,TH
anymore.,1,Neutral,Kerry,TH
"disappointed,",1,Negative,Kerry,TH
If,1,Neutral,Kerry,TH
destination,1,Neutral,Kerry,TH
"collected,",1,Neutral,Kerry,TH
pick,1,Neutral,Kerry,TH
since,1,Neutral,Kerry,TH
"morning,",1,Neutral,Kerry,TH
still,1,Neutral,Kerry,TH
haven't,1,Neutral,Kerry,TH
arrived.,1,Neutral,Kerry,TH
online,1,Neutral,Kerry,TH
check,1,Neutral,Kerry,TH
riding,1,Neutral,Kerry,TH
motorcycle.,1,Neutral,Kerry,TH
We,1,Neutral,Kerry,TH
are,1,Neutral,Kerry,TH
trying,1,Neutral,Kerry,TH
expensive,1,Neutral,Kerry,TH
shipping,1,Neutral,Kerry,TH
"fee,",1,Neutral,Kerry,TH
Lat,1,Neutral,Kerry,TH
Krabang,1,Neutral,Kerry,TH
"area,",1,Neutral,Kerry,TH
"slow,",1,Neutral,Kerry,TH
can't,1,Neutral,Kerry,TH
compete,1,Neutral,Kerry,TH
with,1,Neutral,Kerry,TH
other,1,Neutral,Kerry,TH
"transport,",1,Neutral,Kerry,TH
management,1,Neutral,Kerry,TH
weak!!!!,1,Negative,Kerry,TH
"Terrible,",1,Negative,Kerry,TH
slow,1,Neutral,Kerry,TH
"delivery,",1,Neutral,Kerry,TH
"available,",1,Neutral,Kerry,TH
closed.,1,Neutral,Kerry,TH
difficult,1,Negative,Kerry,TH
"contact,",1,Neutral,Kerry,TH
1217,1,Neutral,Kerry,TH
Pick,1,Neutral,Kerry,TH
hang,1,Neutral,Kerry,TH
Can't,1,Neutral,Kerry,TH
contact,1,Neutral,Kerry,TH
Delivery,1,Neutral,Kerry,TH
any,1,Neutral,Kerry,TH
leave,1,Negative,Kerry,TH
message,1,Neutral,Kerry,TH
receive,1,Neutral,Kerry,TH
it.,1,Neutral,Kerry,TH
Hang,1,Neutral,Kerry,TH
immediately.,1,Neutral,Kerry,TH
"sucks,",1,Negative,Kerry,TH
Kerry,1,Neutral,Kerry,TH
"Fireworks,",1,Neutral,Kerry,TH
stuff,1,Neutral,Kerry,TH
doesn't,1,Neutral,Kerry,TH
in,1,Neutral,Kerry,TH
system.,1,Neutral,Kerry,TH
It,1,Neutral,Kerry,TH
says,1,Neutral,Kerry,TH
phone,1,Neutral,Kerry,TH
correct.,1,Neutral,Kerry,TH
does,1,Neutral,Kerry,TH
take,1,Neutral,Kerry,TH
deliver?,1,Neutral,Kerry,TH
Summary,1,Neutral,Kerry,TH
items,1,Neutral,Kerry,TH
delivered.,1,Neutral,Kerry,TH
Slow,1,Neutral,Kerry,TH
nation,1,Neutral,Kerry,TH
The,1,Neutral,Kerry,TH
staff,1,Neutral,Kerry,TH
"terrible,",1,Negative,Kerry,TH
transportation,1,Neutral,Kerry,TH
extremely,1,Neutral,Kerry,TH
"bad,",1,Negative,Kerry,TH
more,1,Neutral,Kerry,TH
you,1,Neutral,Kerry,TH
every,1,Neutral,Kerry,TH
"day,",1,Neutral,Kerry,TH
worse,1,Negative,Kerry,TH
according,1,Neutral,Kerry,TH
"center,",1,Neutral,Kerry,TH
wait,1,Neutral,Kerry,TH
Contact,1,Neutral,Kerry,TH
did,1,Neutral,Kerry,TH
late,1,Neutral,Kerry,TH
worst,1,Negative,Kerry,TH
week.,1,Neutral,Kerry,TH
You,1,Neutral,Kerry,TH
high,1,Neutral,Kerry,TH
price,1,Neutral,Kerry,TH
slow!,1,Neutral,Kerry,TH
